"","Screen","Name","marker"
"1","PEST08","Abamectin","X"
"2","PEST08","Acephate","X"
"3","PEST08","Acetamiprid","X"
"4","PEST08","Acetamiprid-N-desmethyl","X"
"5","PEST08","Acetochlor","X"
"6","PEST08","Acibenzolar acid","X"
"7","PEST08","Acibenzolar-S-methyl","X"
"8","PEST08","Acrinathrin","X"
"9","PEST08","Alachlor","X"
"10","PEST08","Alanycarb","X"
"11","PEST08","Aldicarb","X"
"12","PEST08","Aldicarbsulfoxide","X"
"13","PEST08","Aldoxycarb","X"
"14","PEST08","Aldrin","X"
"15","PEST08","Allidochlor","X"
"16","PEST08","Ametoctradin","X"
"17","PEST08","Ametryn","X"
"18","PEST08","Anilofos","X"
"19","PEST08","Anthraquinone","X"
"20","PEST08","Atrazine","X"
"21","PEST08","Azaconazole","X"
"22","PEST08","Azamethiphos","X"
"23","PEST08","Azinphos-methyl","X"
"24","PEST08","Azoxystrobin","X"
"25","PEST08","Benalaxyl","X"
"26","PEST08","Bendiocarb","X"
"27","PEST08","Benfluralin","X"
"28","PEST08","Benodanil","X"
"29","PEST08","Benoxacor","X"
"30","PEST08","Bensulfuron-methyl","X"
"31","PEST08","Bensulide","X"
"32","PEST08","Benzalkonium chloride","X"
"33","PEST08","Bifenox","X"
"34","PEST08","Bifenthrin","X"
"35","PEST08","Bioresmethrin","X"
"36","PEST08","Bitertanol","X"
"37","PEST08","Boscalid","X"
"38","PEST08","Bromacil","X"
"39","PEST08","Bromobutide","X"
"40","PEST08","Bromophos","X"
"41","PEST08","Bromophos-ethyl","X"
"42","PEST08","Bromopropylate","X"
"43","PEST08","Bupirimate","X"
"44","PEST08","Buprofezin","X"
"45","PEST08","Butachlor","X"
"46","PEST08","Butafenacil","X"
"47","PEST08","Butamifos","X"
"48","PEST08","Cadusafos","X"
"49","PEST08","Cafenstrole","X"
"50","PEST08","Captan","X"
"51","PEST08","Carbaryl","X"
"52","PEST08","Carbendazim","X"
"53","PEST08","Carbetamide","X"
"54","PEST08","Carbofuran","X"
"55","PEST08","Carboxin","X"
"56","PEST08","Carfentrazone-ethyl","X"
"57","PEST08","Carpropamid","X"
"58","PEST08","Chlorantraniliprole","X"
"59","PEST08","Chlorbufam","X"
"60","PEST08","cis-Chlordane","X"
"61","PEST08","trans-Chlordane","X"
"62","PEST08","Chlorfenapyr","X"
"63","PEST08","Chlorfenvinphos","X"
"64","PEST08","Chloridazon","X"
"65","PEST08","Chlorimuron-ethyl","X"
"66","PEST08","Chlorobenzilate","X"
"67","PEST08","Chlorothalonil","X"
"68","PEST08","Chlorotoluron","X"
"69","PEST08","Chloroxuron","X"
"70","PEST08","Chlorpropham","X"
"71","PEST08","Chlorpyrifos","X"
"72","PEST08","Chlorpyrifos-methyl","X"
"73","PEST08","Chlorsulfuron","X"
"74","PEST08","Chlorthal-dimethyl","X"
"75","PEST08","Chlorthiophos","X"
"76","PEST08","Chlozolinate","X"
"77","PEST08","Chromafenozide","X"
"78","PEST08","Cinidon-ethyl","X"
"79","PEST08","Clethodim","X"
"80","PEST08","Clodinafop-propargyl","X"
"81","PEST08","Clofentezine","X"
"82","PEST08","Clomazone","X"
"83","PEST08","Cloquintocet-mexyl","X"
"84","PEST08","Clothianidin","X"
"85","PEST08","Coumaphosoxon","X"
"86","PEST08","Coumaphos","X"
"87","PEST08","Cyanazine","X"
"88","PEST08","Cyanophos","X"
"89","PEST08","Cyazofamid","X"
"90","PEST08","Cyclanilide","X"
"91","PEST08","Cycloate","X"
"92","PEST08","Cyclosulfamuron","X"
"93","PEST08","Cyflufenamid","X"
"94","PEST08","Cyfluthrin","X"
"95","PEST08","Cyhalofop-butyl","X"
"96","PEST08","Cyhalothrin","X"
"97","PEST08","Cymoxanil","X"
"98","PEST08","Cypermethrin","X"
"99","PEST08","Cyproconazole","X"
"100","PEST08","Cyprodinil","X"
"101","PEST08","Cyromazine","X"
"102","PEST08","Daimuron","X"
"103","PEST08","o""-DDD","X"
"104","PEST08","p""-DDD","X"
"105","PEST08","o""-DDE","X"
"106","PEST08","p""-DDE","X"
"107","PEST08","o""-DDT","X"
"108","PEST08","p""-DDT","X"
"109","PEST08","Deltamethrin","X"
"110","PEST08","Demeton-S-methyl","X"
"111","PEST08","Demeton-S-methylsulfoxide","X"
"112","PEST08","Desmedipham","X"
"113","PEST08","Diallate","X"
"114","PEST08","Diazinon","X"
"115","PEST08","Dichlobenil","X"
"116","PEST08","Dichlofenthion","X"
"117","PEST08","Dichlofluanid","X"
"118","PEST08","Dichlorvos","X"
"119","PEST08","Diclobutrazol","X"
"120","PEST08","Diclocymet","X"
"121","PEST08","Diclofop-methyl","X"
"122","PEST08","Dicloran","X"
"123","PEST08","Diclosulam","X"
"124","PEST08","Dicofol","X"
"125","PEST08","Dicrotophos","X"
"126","PEST08","Dicyclanil","X"
"127","PEST08","Didecyldimethylammonium chloride","X"
"128","PEST08","Dieldrin","X"
"129","PEST08","Diethofencarb","X"
"130","PEST08","Difenoconazole","X"
"131","PEST08","Diflubenzuron","X"
"132","PEST08","Diflufenican","X"
"133","PEST08","Dimepiperate","X"
"134","PEST08","Dimethenamid","X"
"135","PEST08","Dimethoate","X"
"136","PEST08","Dimethomorph","X"
"137","PEST08","Dimethylvinphos","X"
"138","PEST08","Dioxabenzofos","X"
"139","PEST08","Dioxathion","X"
"140","PEST08","Diphenamid","X"
"141","PEST08","Diphenylamine","X"
"142","PEST08","Disulfoton","X"
"143","PEST08","Dithiopyr","X"
"144","PEST08","Diuron","X"
"145","PEST08","Dodine","X"
"146","PEST08","Edifenphos","X"
"147","PEST08","Emamectinbenzoate","X"
"148","PEST08","alpha-Endosulfan","X"
"149","PEST08","beta-Endosulfan","X"
"150","PEST08","Endosulfan sulfate","X"
"151","PEST08","Endrin","X"
"152","PEST08","Endrin ketone","X"
"153","PEST08","EPN","X"
"154","PEST08","Epoxiconazole","X"
"155","PEST08","EPTC","X"
"156","PEST08","Esprocarb","X"
"157","PEST08","Ethalfluralin","X"
"158","PEST08","Ethametsulfuron-methyl","X"
"159","PEST08","Ethiofencarb","X"
"160","PEST08","Ethion","X"
"161","PEST08","Ethiprole","X"
"162","PEST08","Ethofumesate","X"
"163","PEST08","Ethoprophos","X"
"164","PEST08","Ethoxyquin","X"
"165","PEST08","Ethoxysulfuron","X"
"166","PEST08","Ethychlozate","X"
"167","PEST08","Etobenzanid","X"
"168","PEST08","Etoxazole","X"
"169","PEST08","Etridiazole","X"
"170","PEST08","Etrimfos","X"
"171","PEST08","Famoxadone","X"
"172","PEST08","Famphur","X"
"173","PEST08","Fenamidone","X"
"174","PEST08","Fenamiphos","X"
"175","PEST08","Fenarimol","X"
"176","PEST08","Fenbuconazole","X"
"177","PEST08","Fenchlorphos","X"
"178","PEST08","Fenhexamid","X"
"179","PEST08","Fenitrothion","X"
"180","PEST08","Fenobucarb","X"
"181","PEST08","Fenothiocarb","X"
"182","PEST08","Fenoxanil","X"
"183","PEST08","Fenoxaprop-ethyl","X"
"184","PEST08","Fenoxaprop","X"
"185","PEST08","Fenoxycarb","X"
"186","PEST08","Fenpiclonil","X"
"187","PEST08","Fenpropathrin","X"
"188","PEST08","Fenpropidin","X"
"189","PEST08","Fenpropimorph","X"
"190","PEST08","Fenpyroximate","X"
"191","PEST08","Fensulfothion","X"
"192","PEST08","Fenthion","X"
"193","PEST08","Fenthion ethyl","X"
"194","PEST08","Fenthion sulfone","X"
"195","PEST08","Fenthion sulfoxide","X"
"196","PEST08","Fenthion-oxon","X"
"197","PEST08","Fenthion-oxon sulfone","X"
"198","PEST08","Fenthion-oxon sulfoxide","X"
"199","PEST08","Fentrazamide","X"
"200","PEST08","Fenvalerate","X"
"201","PEST08","Ferimzone","X"
"202","PEST08","Fipronil","X"
"203","PEST08","Fipronil sulfide","X"
"204","PEST08","Fipronil sulfone","X"
"205","PEST08","Flamprop","X"
"206","PEST08","Flamprop-methyl","X"
"207","PEST08","Flazasulfuron","X"
"208","PEST08","Fluacrypyrim","X"
"209","PEST08","Fluazifop-P-butyl","X"
"210","PEST08","Fluazinam","X"
"211","PEST08","Flubendazole","X"
"212","PEST08","Flubendiamide","X"
"213","PEST08","Flucythrinate","X"
"214","PEST08","Fludioxonil","X"
"215","PEST08","Flufenacet","X"
"216","PEST08","Flumiclorac-pentyl","X"
"217","PEST08","Flumioxazin","X"
"218","PEST08","Fluometuron","X"
"219","PEST08","Fluopicolide","X"
"220","PEST08","Fluopyram","X"
"221","PEST08","Fluquinconazole","X"
"222","PEST08","Fluridone","X"
"223","PEST08","Flusilazole","X"
"224","PEST08","Fluthiacet-methyl","X"
"225","PEST08","Flutolanil","X"
"226","PEST08","Flutriafol","X"
"227","PEST08","Fluvalinate","X"
"228","PEST08","Folpet","X"
"229","PEST08","Fonofos","X"
"230","PEST08","Forchlorfenuron","X"
"231","PEST08","Formetanate hydrochloride","X"
"232","PEST08","Fosthiazate","X"
"233","PEST08","Fuberidazole","X"
"234","PEST08","Furalaxyl","X"
"235","PEST08","Furametpyr","X"
"236","PEST08","Furathiocarb","X"
"237","PEST08","Halosulfuron-methyl","X"
"238","PEST08","Haloxyfop-etotyl","X"
"239","PEST08","Haloxyfop-methyl","X"
"240","PEST08","alpha-HCH","X"
"241","PEST08","beta-HCH","X"
"242","PEST08","gamma-HCH","X"
"243","PEST08","delta-HCH","X"
"244","PEST08","Heptachlor","X"
"245","PEST08","Heptachlor endo-epoxide","X"
"246","PEST08","Heptachlor exo-epoxide","X"
"247","PEST08","Heptenophos","X"
"248","PEST08","Hexachlorobenzene","X"
"249","PEST08","Hexaconazole","X"
"250","PEST08","Hexaflumuron","X"
"251","PEST08","Hexazinone","X"
"252","PEST08","Hexythiazox","X"
"253","PEST08","Imazalil","X"
"254","PEST08","Imazamethabenz-methyl","X"
"255","PEST08","Imazosulfuron","X"
"256","PEST08","Imidacloprid","X"
"257","PEST08","5-Hydroxyimidacloprid","X"
"258","PEST08","Imidacloprid olefin","X"
"259","PEST08","Inabenfide","X"
"260","PEST08","Indanofan","X"
"261","PEST08","Indoxacarb","X"
"262","PEST08","Iodosulfuron-methyl","X"
"263","PEST08","Iprobenfos","X"
"264","PEST08","Iprodione","X"
"265","PEST08","Iprovalicarb","X"
"266","PEST08","Isazofos","X"
"267","PEST08","Isofenphos","X"
"268","PEST08","Isofenphos-methyl","X"
"269","PEST08","Isoprocarb","X"
"270","PEST08","Isoprothiolane","X"
"271","PEST08","Isoproturon","X"
"272","PEST08","Isopyrazam","X"
"273","PEST08","Isoxathion","X"
"274","PEST08","Iodfenphos","X"
"275","PEST08","Karbutilate","X"
"276","PEST08","Kresoxim-methyl","X"
"277","PEST08","Lactofen","X"
"278","PEST08","Lenacil","X"
"279","PEST08","Leptophos","X"
"280","PEST08","Linuron","X"
"281","PEST08","Lufenuron","X"
"282","PEST08","Malathion","X"
"283","PEST08","Mandipropamid","X"
"284","PEST08","Mefenacet","X"
"285","PEST08","Mefenpyr-diethyl","X"
"286","PEST08","Mepanipyrim","X"
"287","PEST08","Mepronil","X"
"288","PEST08","Mesotrione","X"
"289","PEST08","Metalaxyl","X"
"290","PEST08","Metamitron","X"
"291","PEST08","Metconazole","X"
"292","PEST08","Methabenzthiazuron","X"
"293","PEST08","Methacrifos","X"
"294","PEST08","Methamidophos","X"
"295","PEST08","Methidathion","X"
