Name,Nuts,PEST06,PEST08,PEST08_C6
(E)-Metominostrobin,,,X,
(E)-Pyriminobac-methyl,,,X,
(Z)-Metominostrobin,,,X,
(Z)-Pyriminobac-methyl,,,X,
2-Phenylphenol,,X,X,X
"2,2-DPA",X,,,
5-Hydroxyimidacloprid,,,X,X
Abamectin,X,,X,
Acephate,X,X,X,X
Acetamiprid,,,X,
Acetamiprid-N-desmethyl,,,X,
Acetochlor,,,X,
Acibenzolar acid,,,X,
Acibenzolar-S-methyl,,,X,
Acifluorfen,X,,,
Acrinathrin,,,X,
Alachlor,,,X,
Alanycarb,,,X,
Aldicarb,,,X,
Aldicarbsulfoxide,,,X,
Aldoxycarb,,,X,
Aldrin,,,X,X
Aldrin and dieldrin,,X,,
Allidochlor,,,X,
Ametoctradin,,,X,
Ametryn,,,X,
Aminoethoxyvinylglycine,X,,,
Amitrol,X,,,
Anilofos,,,X,
Anthraquinone,,,X,
Atrazine,,,X,
Azaconazole,,,X,
Azamethiphos,,,X,
Azinphos-methyl,X,X,X,X
Azoxystrobin,X,X,X,X
Benalaxyl,,X,X,X
Bendiocarb,,,X,
Benfluralin,,,X,
Benodanil,,,X,
Benoxacor,,,X,
Bensulfuron-methyl,,,X,
Bensulide,,,X,
Bentazone,X,,,
Benzalkonium chloride,,,X,
Benzyladenine,X,,,
BHC,,X,,
Bifenazate,X,,,
Bifenox,,,X,
Bifenthrin,X,X,X,X
Bioresmethrin,,X,X,X
Bitertanol,,X,X,X
Boscalid,X,X,X,X
Bromacil,,,X,
Bromobutide,,,X,
Bromophos,,,X,
Bromophos-ethyl,,,X,X
Bromopropylate,,,X,
Bupirimate,,,X,X
Buprofezin,X,,X,X
Butachlor,,,X,
Butafenacil,,,X,
Butamifos,,,X,
Cadusafos,,,X,
Cafenstrole,,,X,
Captan,X,X,X,X
Carbaryl,X,X,X,X
Carbendazim,X,X,X,X
Carbetamide,,,X,
Carbofuran,,,X,
Carboxin,,,X,
Carfentrazone-ethyl,X,,X,
Carpropamid,,,X,
Chlorantraniliprole,X,,X,
Chlorbufam,,,X,
Chlordane-cis,,,X,X
Chlorfenapyr,,,X,X
Chlorfenvinphos,X,X,X,
Chloridazon,,,X,
Chlorimuron-ethyl,,,X,
Chlorobenzilate,,,X,
Chlorothalonil,X,X,X,X
Chlorotoluron,,,X,
Chloroxuron,,,X,
Chlorpropham,,,X,
Chlorpyrifos,X,X,X,X
Chlorpyrifos-methyl,,X,X,X
Chlorsulfuron,,,X,
Chlorthal-dimethyl,,X,X,X
Chlorthiophos,,,X,
Chlozolinate,,,X,
Chromafenozide,,,X,
Cinidon-ethyl,,,X,
Clethodim,,,X,
Clodinafop-propargyl,,,X,
Clofentezine,X,,X,X
Clomazone,,,X,
Cloquintocet-mexyl,,,X,
Clothianidin,,,X,
Coumaphos,,,X,
Coumaphosoxon,,,X,
Cyanazine,,,X,
Cyanophos,,,X,
Cyazofamid,,,X,
Cyclanilide,,,X,
Cycloate,,,X,
Cyclosulfamuron,,,X,
Cyflufenamid,,,X,
Cyfluthrin,X,X,X,X
Cyhalofop-butyl,,,X,
Cyhalothrin,,X,X,X
Cymoxanil,,,X,
Cypermethrin,,X,X,X
Cyproconazole,X,X,X,X
Cyprodinil,X,X,X,X
Cyromazine,,,X,
Daimuron,,,X,
"DDD (o,p)",,,X,X
"DDD (p,p)",,,X,X
"DDE (o,p)",,,X,X
"DDE (p,p)",,,X,X
DDT,,X,,
"DDT (o,p)",,,X,X
"DDT (p,p)",,,X,X
Deltamethrin,,X,X,X
Demeton-s-methyl,,,X,X
Demeton-s-methylsulfoxide,,,X,
Desmedipham,,,X,
Diafenthiuron,X,,,
Diallate,,,X,
Diazinon,X,X,X,X
Dichlobenil,,,X,
Dichlofenthion,,,X,
Dichlofluanid,X,,X,X
Dichlorvos,X,X,X,X
Diclobutrazol,,,X,
Diclocymet,,,X,
Diclofop-methyl,,,X,
Dicloran,,X,X,X
Diclosulam,,,X,
Dicofol,X,X,X,X
Dicrotophos,,,X,
Dicyclanil,,,X,
Didecyldimethylammonium chloride,,,X,
Dieldrin,,,X,X
Diethofencarb,,,X,
Difenoconazole,X,X,X,X
Diflubenzuron,,,X,
Diflufenican,,,X,
Dimepiperate,,,X,
Dimethenamid,,,X,
Dimethoate,X,X,X,X
Dimethomorph,,X,X,X
Dimethylvinphos,,,X,
Dioxabenzofos,,,X,
Dioxathion,,,X,
Diphenamid,,,X,
Diphenylamine,,X,X,X
Diquat,X,,,
Disulfoton,,X,X,
Dithiocarbamates,X,,,
Dithiopyr,,,X,
Diuron,,X,X,X
Dodine,,,X,
Edifenphos,,,X,
Emamectinbenzoate,,,X,
Endosulphan,,X,,
Endosulphan sulphate,,,X,X
Endosulphan-alpha,,,X,X
Endosulphan-beta,,,X,X
Endrin,,X,X,X
Endrin ketone,,,X,X
EPN,,,X,
Epoxiconazole,,,X,
EPTC,,,X,
Esprocarb,,,X,
Ethalfluralin,,,X,
Ethametsulfuron-methyl,,,X,
Ethephon,X,,,
Ethiofencarb,,,X,
Ethion,,,X,
Ethiprole,,,X,
Ethofumesate,,,X,
Ethoprophos,,X,X,
Ethoxyquin,,,X,
Ethoxysulfuron,,,X,
Ethychlozate,,,X,
Etobenzanid,,,X,
Etoxazole,X,,X,X
Etridiazole,X,,X,
Etrimfos,,,X,
Famoxadone,,,X,
Famphur,,,X,
Fenamidone,,,X,
Fenamiphos,X,X,X,X
Fenarimol,,X,X,X
Fenbuconazole,,,X,
Fenchlorphos,,,X,
Fenhexamid,,X,X,X
Fenitrothion,X,X,X,X
Fenobucarb,,,X,
Fenothiocarb,,,X,
Fenoxanil,,,X,
Fenoxaprop,,,X,
Fenoxaprop-ethyl,,,X,
Fenoxycarb,,X,X,X
Fenpiclonil,,,X,
Fenpropathrin,,,X,
Fenpropidin,,,X,
Fenpropimorph,,,X,
Fenpyroximate,,X,X,X
Fensulfothion,,,X,
Fenthion,,X,X,X
Fenthion ethyl,,,X,
Fenthion sulfone,,,X,X
Fenthion sulfoxide,,,X,X
Fenthion-oxon,,,X,X
Fenthion-oxon sulfone,,,X,X
Fenthion-oxon sulfoxide,,,X,X
Fentin,X,,,
Fentrazamide,,,X,
Fenvalerate,X,X,X,X
Ferimzone,,,X,
Fipronil,X,X,X,X
Fipronil sulfide,,,X,X
Fipronil sulphone,,,X,X
Flamprop,,,X,
Flamprop-methyl,,,X,
Flazasulfuron,,,X,
Fluacrypyrim,,,X,
Fluazifop-p-butyl,,,X,
Fluazinam,,,X,
Flubendazole,,,X,
Flubendiamide,,,X,X
Flucythrinate,,,X,
Fludioxonil,X,X,X,X
Flufenacet,,,X,
Flumetsulam,X,,,
